Дата,Посещаемость,Видимость
06.01.2021,59,27
13.01.2021,270,32
20.01.2021,284,36
27.01.2021,291,37
03.02.2021,288,24
10.02.2021,273,23
17.02.2021,238,32
24.02.2021,325,31
03.03.2021,259,37
10.03.2021,321,35
17.03.2021,299,30
24.03.2021,378,36
31.03.2021,305,34
07.04.2021,391,37
14.04.2021,429,22
21.04.2021,426,21
28.04.2021,358,21
05.05.2021,423,28
12.05.2021,416,31
19.05.2021,425,29
26.05.2021,422,27
02.06.2021,401,26
09.06.2021,400,19
16.06.2021,404,19
23.06.2021,369,22
30.06.2021,337,26
07.07.2021,429,23
14.07.2021,404,22
21.07.2021,422,19
28.07.2021,398,23
04.08.2021,420,22
11.08.2021,450,18
18.08.2021,430,30
20.08.2021,391,33
23.08.2021,525,32
27.08.2021,356,38
30.08.2021,503,34
